"";"ACRIM";"BCRIM";"CCRIM";"DCRIM";"FEMALE";"SCHOOL"
"710";NA;NA;3;2;0;"HA"
"711";0;0;0;0;1;"HA"
"712";0;0;0;0;1;"HA"
"713";NA;5;6;3;0;"HA"
"714";NA;2;0;5;0;"HA"
"715";NA;0;0;0;1;"GY"
"716";NA;0;0;0;1;"GY"
"717";NA;NA;3;2;0;"GY"
"718";NA;8;8;5;0;"GY"
"719";0;0;0;0;1;"GY"
"720";NA;NA;1;0;1;"GY"
"721";NA;NA;3;3;0;"GY"
"722";0;0;0;0;1;"GY"
"723";0;NA;NA;2;1;"GY"
"724";NA;NA;0;1;1;"GY"
"725";0;0;0;0;1;"GY"
"726";0;0;0;0;1;"GY"
"727";0;0;0;0;1;"GY"
"728";NA;1;0;1;0;"GY"
"729";0;NA;0;0;1;"GY"
"730";NA;NA;0;0;0;"GY"
"731";0;1;0;1;0;"GY"
"732";NA;0;0;0;0;"GY"
"733";NA;NA;0;0;0;"GY"
"734";NA;2;0;0;0;"GY"
"735";2;1;1;1;0;"GY"
"736";6;1;NA;NA;0;"GY"
"737";NA;NA;3;1;0;"GY"
"738";0;0;0;0;0;"GY"
"739";1;0;2;2;0;"GY"
"740";0;0;0;0;1;"GY"
"741";0;0;0;1;0;"GY"
"742";NA;NA;1;1;1;"GY"
"743";NA;NA;3;3;1;"GY"
"744";0;0;0;0;1;"GY"
"745";0;0;1;3;1;"GY"
"746";NA;0;1;1;0;"GY"
"747";0;0;1;0;0;"GY"
"748";0;1;2;0;0;"GY"
"749";0;0;0;0;0;"GY"
"750";0;0;0;0;0;"GY"
"751";0;0;0;0;0;"GY"
"752";NA;NA;0;0;0;"GY"
"753";0;0;0;0;0;"RE"
"754";0;0;0;0;1;"RE"
"755";1;0;0;0;1;"RE"
"756";0;1;0;0;1;"RE"
"757";NA;0;0;0;1;"RE"
"758";NA;NA;2;3;0;"RE"
"759";0;0;0;0;1;"RE"
"760";NA;0;1;1;0;"RE"
"761";1;NA;NA;1;0;"RE"
"762";NA;0;0;0;1;"RE"
"763";NA;NA;0;0;1;"RE"
"764";NA;1;0;0;1;"RE"
"765";NA;6;4;5;0;"RE"
"766";3;4;7;8;0;"RE"
"767";1;0;1;0;1;"RE"
"768";NA;0;0;0;1;"RE"
"769";0;0;0;0;1;"RE"
"770";0;0;0;1;0;"RE"
"771";0;0;0;0;0;"RE"
"772";NA;0;0;0;0;"RE"
"773";0;0;0;0;0;"RE"
"774";NA;NA;0;2;0;"RE"
"775";NA;NA;0;0;0;"HA"
"776";1;0;1;1;1;"HA"
"777";NA;2;3;1;1;"HA"
"778";5;0;3;3;1;"HA"
"779";0;0;0;0;0;"HA"
"780";0;0;0;1;0;"HA"
"781";NA;NA;7;7;0;"HA"
"782";NA;NA;6;2;0;"HA"
"783";NA;NA;1;2;0;"HA"
"784";0;0;0;0;1;"HA"
"785";0;0;0;0;1;"HA"
"786";0;NA;NA;1;1;"HA"
"787";1;NA;NA;3;0;"HA"
"788";NA;5;NA;2;0;"HA"
"789";1;0;3;2;0;"HA"
"790";NA;1;0;0;1;"GY"
"791";NA;NA;0;0;1;"GY"
"792";NA;NA;0;1;1;"GY"
"793";NA;NA;0;0;1;"GY"
"794";0;0;0;1;1;"GY"
"795";0;1;1;1;0;"GY"
"796";1;0;0;0;1;"GY"
"797";0;1;0;0;1;"GY"
"798";0;NA;0;1;0;"GY"
"799";NA;1;4;2;1;"GY"
"800";1;1;1;1;1;"GY"
"801";0;0;0;2;1;"GY"
"802";0;0;0;0;1;"GY"
"803";0;0;0;0;1;"GY"
"804";0;0;0;0;1;"GY"
"805";NA;0;0;0;1;"GY"
"806";0;0;0;0;1;"GY"
"807";NA;NA;1;0;0;"GY"
"808";0;0;0;0;0;"GY"
"809";0;0;0;0;0;"GY"
"810";NA;NA;0;0;0;"GY"
"811";0;0;0;0;0;"GY"
"812";NA;NA;2;0;0;"GY"
"813";0;0;0;0;0;"GY"
"814";2;NA;NA;4;0;"GY"
"815";0;0;0;0;0;"GY"
"816";0;0;0;0;0;"GY"
"817";1;0;0;0;1;"RE"
"818";0;0;0;0;1;"RE"
"819";NA;0;0;0;1;"RE"
"820";NA;NA;0;0;0;"RE"
"821";1;3;6;5;0;"RE"
"822";NA;0;0;0;1;"RE"
"823";0;0;0;0;1;"RE"
"824";0;0;1;1;0;"RE"
"825";0;0;0;0;0;"RE"
"826";0;1;2;1;0;"RE"
"827";0;0;0;0;0;"RE"
"828";0;0;0;0;1;"RE"
"829";0;4;3;2;0;"RE"
"830";NA;NA;0;0;0;"RE"
"831";NA;2;5;1;1;"RE"
"832";4;3;0;0;0;"RE"
"833";NA;3;NA;0;0;"RE"
"834";NA;NA;0;0;0;"HA"
"835";NA;NA;0;0;0;"HA"
"836";0;0;0;0;1;"HA"
"837";0;1;1;0;1;"HA"
"838";NA;0;2;4;0;"HA"
"839";NA;2;6;3;0;"HA"
"840";NA;NA;0;2;1;"HA"
"841";NA;NA;0;0;1;"HA"
"842";NA;NA;0;0;1;"HA"
"843";1;0;0;4;1;"HA"
"844";0;0;0;5;1;"HA"
"845";2;NA;1;1;1;"HA"
"846";NA;NA;1;2;1;"HA"
"847";0;2;1;2;0;"HA"
"848";0;0;5;2;0;"HA"
"849";NA;0;0;0;0;"HA"
"850";1;6;5;2;1;"HA"
"851";0;1;0;0;0;"HA"
"852";0;0;2;1;0;"HA"
"853";1;0;0;0;1;"HA"
"854";0;1;3;0;1;"HA"
"855";NA;2;NA;1;0;"GY"
"856";0;0;1;0;1;"HA"
"857";0;4;1;0;1;"HA"
"858";0;0;1;0;1;"RE"
"859";NA;1;2;0;1;"HA"
"860";NA;NA;0;0;1;"HA"
"861";6;3;3;4;0;"HA"
"862";5;NA;3;4;0;"RE"
"863";0;0;1;1;1;"HA"
"864";NA;8;2;1;1;"HA"
"865";NA;0;0;5;0;"HA"
"866";0;1;0;3;0;"HA"
"867";0;NA;NA;0;1;"HA"
"868";NA;NA;1;0;0;"RE"
"869";1;0;0;0;0;"RE"
"870";3;4;3;0;0;"RE"
"871";0;0;1;0;1;"RE"
"872";NA;0;0;0;1;"RE"
"873";2;0;0;0;0;"RE"
"874";NA;NA;3;1;0;"RE"
"875";0;1;0;0;0;"RE"
"876";0;1;1;1;0;"RE"
"877";NA;NA;2;1;1;"RE"
"878";NA;NA;8;5;0;"RE"
"879";NA;NA;0;0;1;"RE"
"880";0;0;1;0;1;"GY"
"881";1;0;0;0;0;"RE"
"882";0;0;0;0;1;"RE"
"883";0;0;0;0;1;"RE"
"884";1;6;1;4;0;"RE"
"885";NA;NA;0;0;1;"RE"
"886";NA;2;1;1;1;"RE"
"887";0;0;0;0;1;"RE"
"888";1;0;1;0;1;"RE"
"889";NA;4;4;4;1;"HA"
"890";0;NA;NA;1;0;"HA"
"891";NA;2;3;2;0;"HA"
"892";0;1;0;0;1;"HA"
"893";NA;NA;2;1;1;"HA"
"894";1;1;2;1;1;"HA"
"895";NA;1;8;3;1;"HA"
"896";0;0;0;0;0;"HA"
"897";NA;NA;15;2;0;"HA"
"898";1;5;13;11;0;"HA"
"899";NA;NA;0;1;0;"HA"
"900";NA;NA;0;0;0;"HA"
"901";NA;NA;1;2;1;"HA"
"902";NA;1;0;0;1;"RE"
"903";0;1;1;1;1;"GY"
"904";0;0;0;0;1;"RE"
"905";NA;NA;0;0;1;"RE"
"906";0;0;0;0;1;"RE"
"907";0;0;0;0;1;"RE"
"908";NA;NA;9;7;0;"RE"
"909";0;0;3;2;1;"RE"
"910";NA;6;6;6;0;"RE"
"911";NA;0;0;0;0;"RE"
"912";0;5;1;0;0;"RE"
"913";NA;NA;0;0;1;"RE"
"914";0;1;2;1;0;"RE"
"915";0;0;0;0;0;"RE"
"916";NA;NA;3;2;0;"RE"
"917";0;1;1;1;0;"RE"
"918";3;1;0;0;0;"RE"
"919";1;1;3;3;0;"RE"
"920";0;0;3;0;1;"RE"
"921";0;0;0;0;1;"RE"
"922";0;NA;NA;0;0;"RE"
"923";1;7;11;5;0;"RE"
"924";0;1;0;2;0;"GY"
"925";NA;14;0;0;0;"GY"
"926";0;0;0;0;1;"GY"
"927";0;0;0;0;1;"GY"
"928";0;0;0;0;1;"GY"
"929";7;7;3;3;0;"GY"
"930";NA;NA;2;2;0;"GY"
"931";NA;2;1;1;0;"GY"
"932";NA;NA;0;1;1;"RE"
"933";NA;0;0;0;1;"GY"
"934";2;1;2;2;1;"GY"
"935";0;0;0;1;1;"GY"
"936";0;0;0;0;1;"GY"
"937";NA;NA;1;0;0;"GY"
"938";0;1;0;0;0;"GY"
"939";0;1;1;0;1;"GY"
"940";NA;1;2;6;0;"HA"
"941";NA;NA;6;6;0;"HA"
"942";5;8;5;5;0;"HA"
"943";3;3;6;2;0;"HA"
"944";1;0;2;1;0;"RE"
"945";2;NA;0;0;0;"RE"
"946";8;1;0;0;0;"RE"
"947";NA;NA;1;1;0;"RE"
"948";0;0;0;0;0;"RE"
"949";0;0;0;0;0;"RE"
"950";NA;NA;2;2;0;"RE"
"951";NA;NA;6;3;0;"RE"
"952";0;0;0;0;1;"RE"
"953";0;0;0;0;1;"RE"
"954";NA;NA;8;3;0;"RE"
"955";NA;0;0;0;1;"RE"
"956";NA;0;0;0;1;"RE"
"957";NA;0;1;1;1;"RE"
"958";3;2;1;1;0;"RE"
"959";NA;2;0;0;1;"RE"
"960";0;NA;NA;1;1;"RE"
"961";0;0;0;0;1;"RE"
"962";0;0;0;0;1;"RE"
"963";0;NA;0;0;1;"RE"
"964";NA;NA;2;3;1;"RE"
"965";0;2;2;1;1;"RE"
"966";NA;3;0;1;1;"RE"
"967";NA;NA;2;2;0;"RE"
"968";NA;NA;2;2;1;"RE"
"969";2;2;1;1;1;"RE"
"970";NA;NA;7;3;0;"RE"
"971";2;1;1;1;1;"RE"
"972";3;NA;NA;8;0;"RE"
"973";NA;NA;5;3;0;"RE"
"974";0;0;1;0;0;"RE"
"975";0;0;0;0;0;"RE"
"976";0;7;2;1;0;"RE"
"977";0;0;0;0;0;"RE"
"978";NA;NA;11;6;0;"RE"
"979";NA;NA;3;1;0;"RE"
"980";3;0;1;2;0;"RE"
"981";0;1;2;2;0;"RE"
"982";0;1;1;1;0;"RE"
"983";0;NA;0;0;0;"GY"
"984";NA;0;0;0;0;"RE"
"985";0;0;1;0;1;"HA"
"986";0;0;0;0;1;"HA"
"987";0;0;0;0;1;"HA"
"988";NA;0;0;0;1;"HA"
"989";0;2;5;NA;0;"HA"
"990";NA;1;0;0;1;"HA"
"991";NA;0;0;0;1;"HA"
"992";NA;0;0;0;1;"HA"
"993";NA;1;0;1;1;"HA"
"994";NA;NA;5;6;0;"HA"
"995";4;7;6;8;0;"HA"
"996";1;3;1;2;1;"HA"
"997";2;3;3;0;0;"HA"
"998";0;0;0;0;0;"HA"
"999";NA;5;4;4;0;"HA"
"1000";NA;8;6;5;0;"HA"
"1001";0;0;0;0;0;"GY"
"1002";NA;NA;1;2;0;"GY"
"1003";0;0;1;1;0;"GY"
"1004";0;0;0;0;1;"GY"
"1005";0;0;0;0;1;"GY"
"1006";0;0;0;1;1;"GY"
"1007";0;0;0;0;1;"GY"
"1008";NA;NA;6;6;0;"GY"
"1009";0;0;0;0;1;"GY"
"1010";NA;1;1;1;1;"GY"
"1011";0;NA;NA;0;0;"GY"
"1012";NA;0;0;0;0;"GY"
"1013";0;0;0;0;1;"GY"
"1014";NA;NA;0;0;1;"GY"
"1015";0;0;0;0;0;"GY"
"1016";NA;NA;0;0;1;"GY"
"1017";0;0;0;0;1;"GY"
"1018";0;0;0;0;0;"GY"
"1019";0;0;0;0;1;"GY"
"1020";0;0;0;0;0;"GY"
"1021";0;0;1;0;1;"GY"
"1022";0;NA;0;0;1;"GY"
"1023";0;0;0;0;0;"GY"
"1024";0;0;0;0;0;"GY"
"1025";0;NA;0;0;1;"GY"
"1026";0;0;0;0;1;"GY"
"1027";0;0;0;0;0;"GY"
"1028";0;0;0;0;0;"GY"
"1029";0;0;0;0;0;"GY"
"1030";0;0;0;0;1;"RE"
"1031";0;0;0;0;1;"RE"
"1032";0;0;0;0;1;"RE"
"1033";NA;0;0;0;1;"RE"
"1034";0;0;0;0;1;"RE"
"1035";NA;NA;0;0;1;"RE"
"1036";NA;NA;0;0;0;"RE"
"1037";0;0;1;3;0;"RE"
"1038";0;0;0;0;0;"RE"
"1039";NA;0;0;0;0;"RE"
"1040";0;0;1;0;0;"RE"
"1041";NA;1;0;0;0;"RE"
"1042";NA;NA;0;1;0;"RE"
"1043";1;0;0;3;0;"GY"
"1044";NA;NA;0;0;1;"RE"
"1045";0;0;0;0;1;"RE"
"1046";3;1;0;1;0;"RE"
"1047";4;0;0;1;0;"RE"
"1048";0;NA;NA;0;0;"RE"
"1049";NA;NA;2;4;1;"RE"
"1050";0;0;0;0;0;"RE"
"1051";NA;0;0;0;1;"RE"
"1052";1;NA;NA;0;1;"RE"
"1053";1;NA;0;0;1;"RE"
"1054";0;0;0;0;1;"RE"
"1055";0;0;0;1;1;"RE"
"1056";0;3;1;1;1;"RE"
"1057";0;0;0;0;1;"RE"
"1058";0;0;0;0;1;"RE"
"1059";NA;3;1;1;0;"RE"
"1060";NA;NA;4;3;1;"RE"
"1061";0;0;0;1;1;"RE"
"1062";0;0;1;2;1;"RE"
"1063";0;0;0;0;0;"RE"
"1064";NA;NA;0;0;0;"RE"
"1065";NA;NA;0;1;0;"RE"
"1066";NA;NA;9;9;0;"RE"
"1067";NA;NA;0;2;1;"RE"
"1068";NA;NA;0;1;0;"RE"
"1069";NA;NA;1;0;1;"RE"
"1070";0;0;NA;0;1;"RE"
"1071";NA;NA;0;0;1;"RE"
"1072";0;NA;NA;0;0;"RE"
"1073";2;2;1;0;0;"RE"
"1074";NA;NA;7;5;0;"RE"
"1075";NA;NA;4;0;1;"RE"
"1076";NA;4;0;0;1;"RE"
"1077";NA;NA;0;1;1;"RE"
"1078";2;0;0;0;0;"RE"
"1079";0;0;0;0;0;"RE"
"1080";0;0;1;1;0;"RE"
"1081";NA;NA;0;0;1;"RE"
"1082";NA;1;0;0;1;"HA"
"1083";0;0;0;0;1;"RE"
"1084";0;0;0;0;1;"RE"
"1085";0;0;0;0;1;"RE"
"1086";0;0;0;0;1;"RE"
"1087";NA;0;0;0;1;"RE"
"1088";0;0;0;0;1;"RE"
"1089";1;1;0;0;1;"RE"
"1090";0;1;0;0;1;"RE"
"1091";2;1;0;1;1;"RE"
"1092";1;1;4;3;0;"RE"
"1093";3;3;7;3;0;"RE"
"1094";0;NA;0;3;0;"RE"
"1095";4;1;1;0;1;"RE"
"1096";NA;2;3;2;0;"RE"
"1097";0;0;0;0;1;"RE"
"1098";0;0;0;0;1;"RE"
"1099";NA;NA;0;0;1;"RE"
"1100";0;1;NA;1;1;"RE"
"1101";0;0;0;0;0;"RE"
"1102";0;5;5;2;1;"GY"
"1103";NA;0;0;0;1;"GY"
"1104";0;NA;0;0;1;"GY"
"1105";0;0;1;2;0;"GY"
"1106";0;0;0;0;1;"GY"
"1107";0;5;3;1;1;"GY"
"1108";0;1;0;0;0;"GY"
"1109";0;0;0;0;1;"GY"
"1110";0;0;0;0;1;"GY"
"1111";0;0;0;0;0;"GY"
"1112";0;0;0;0;0;"GY"
"1113";NA;0;0;0;0;"GY"
"1114";0;0;0;0;0;"GY"
"1115";0;1;1;1;0;"GY"
"1116";0;1;1;0;1;"GY"
"1117";0;0;0;0;1;"GY"
"1118";0;NA;NA;1;0;"GY"
"1119";0;0;1;1;0;"GY"
"1120";NA;NA;1;2;0;"GY"
"1121";0;0;0;0;0;"GY"
"1122";0;0;1;0;1;"GY"
"1123";0;0;0;0;1;"GY"
"1124";0;0;0;0;0;"GY"
"1125";0;0;0;0;0;"GY"
"1126";1;2;0;0;0;"GY"
"1127";0;0;0;1;0;"GY"
"1128";NA;NA;0;0;0;"GY"
"1129";0;0;1;0;0;"GY"
"1130";0;0;NA;2;1;"GY"
"1131";NA;6;1;1;0;"GY"
"1132";0;0;0;0;1;"GY"
"1133";0;0;0;0;1;"GY"
"1134";NA;0;0;0;1;"GY"
"1135";0;1;0;0;1;"GY"
"1136";NA;NA;0;1;1;"GY"
"1137";0;0;0;1;0;"GY"
"1138";NA;NA;0;1;0;"GY"
"1139";NA;0;0;0;0;"GY"
"1140";1;7;4;4;0;"GY"
"1141";0;0;0;0;1;"GY"
"1142";0;0;1;1;1;"GY"
"1143";0;1;1;1;0;"GY"
"1144";NA;1;3;2;1;"GY"
"1145";NA;0;1;4;0;"GY"
"1146";0;3;5;8;0;"GY"
"1147";0;0;0;0;1;"GY"
"1148";0;0;0;0;0;"GY"
"1149";0;1;1;2;0;"GY"
"1150";0;0;1;0;0;"GY"
"1151";NA;0;1;2;1;"GY"
"1152";NA;0;1;1;1;"GY"
"1153";0;0;0;0;1;"GY"
"1154";NA;NA;1;0;1;"RE"
"1155";0;0;0;0;1;"RE"
"1156";NA;1;1;0;1;"RE"
"1157";NA;1;1;1;1;"RE"
"1158";NA;2;2;1;1;"RE"
"1159";NA;NA;1;0;1;"RE"
"1160";NA;0;2;1;1;"RE"
"1161";0;2;0;0;0;"RE"
"1162";1;0;0;0;1;"RE"
"1163";0;0;0;0;1;"RE"
"1164";0;0;0;0;1;"RE"
"1165";1;3;0;0;0;"RE"
"1166";2;NA;3;3;1;"RE"
"1167";0;1;3;3;1;"RE"
"1168";1;0;0;0;0;"RE"
"1169";2;1;1;1;0;"RE"
"1170";1;0;0;1;1;"RE"
"1171";0;2;0;0;0;"RE"
"1172";0;0;0;0;1;"GY"
"1173";0;0;2;0;1;"GY"
"1174";NA;NA;6;4;1;"GY"
"1175";0;0;1;0;1;"GY"
"1176";8;NA;NA;0;1;"GY"
"1177";2;5;3;5;0;"GY"
"1178";NA;2;3;2;0;"GY"
"1179";2;1;5;8;0;"GY"
"1180";NA;NA;1;2;0;"GY"
"1181";0;0;0;0;0;"GY"
"1182";NA;0;0;0;0;"HA"
"1183";0;0;0;0;0;"HA"
"1184";NA;NA;1;0;0;"HA"
"1185";NA;0;0;0;0;"HA"
"1186";NA;0;0;2;0;"HA"
"1187";0;0;2;0;0;"HA"
"1188";NA;NA;0;0;0;"HA"
"1189";0;0;0;0;0;"HA"
"1190";NA;0;0;0;0;"HA"
"1191";0;0;0;4;1;"HA"
"1192";NA;1;0;1;1;"HA"
"1193";0;1;4;3;0;"HA"
"1194";NA;0;1;0;0;"HA"
"1195";0;0;0;0;1;"HA"
"1196";NA;1;4;3;0;"HA"
"1197";NA;2;1;NA;0;"HA"
"1198";NA;NA;4;3;0;"HA"
"1199";0;0;0;0;1;"HA"
"1200";0;2;1;0;0;"HA"
"1201";NA;2;5;1;1;"GY"
"1202";NA;0;0;0;0;"GY"
"1203";NA;NA;1;1;0;"GY"
"1204";NA;NA;4;1;0;"GY"
"1205";0;0;0;0;0;"GY"
"1206";0;0;0;0;0;"GY"
"1207";0;0;0;0;0;"GY"
"1208";0;0;0;0;1;"GY"
"1209";0;0;0;0;1;"GY"
"1210";NA;NA;1;1;0;"GY"
"1211";NA;2;3;1;0;"GY"
"1212";1;0;1;2;0;"GY"
"1213";0;0;0;0;0;"GY"
"1214";NA;NA;0;0;1;"RE"
"1215";0;3;NA;2;0;"RE"
"1216";NA;NA;3;3;1;"RE"
"1217";0;0;0;1;1;"RE"
"1218";NA;0;0;0;1;"RE"
"1219";NA;NA;0;0;1;"RE"
"1220";0;1;2;0;1;"RE"
"1221";NA;0;NA;1;0;"RE"
"1222";NA;0;1;0;0;"RE"
"1223";NA;NA;1;0;0;"RE"
"1224";0;NA;0;0;0;"RE"
"1225";NA;0;0;0;1;"RE"
"1226";NA;2;1;1;1;"RE"
"1227";0;0;3;6;1;"RE"
"1228";NA;3;3;1;1;"RE"
"1229";NA;0;0;4;1;"RE"
"1230";0;0;NA;0;1;"RE"
"1231";NA;5;3;9;0;"RE"
"1232";NA;NA;0;2;0;"RE"
"1233";0;0;0;0;1;"RE"
"1234";2;5;2;3;0;"RE"
"1235";0;0;2;1;1;"RE"
"1236";0;0;1;0;1;"RE"
"1237";NA;4;2;2;0;"RE"
"1238";0;0;0;0;0;"RE"
"1239";0;0;0;1;0;"RE"
"1240";0;3;2;2;0;"RE"
"1241";2;0;0;1;0;"RE"
"1242";NA;5;4;4;1;"RE"
"1243";NA;NA;3;1;0;"RE"
"1244";0;1;3;2;0;"RE"
"1245";NA;NA;2;2;0;"RE"
"1246";0;3;4;9;0;"RE"
"1247";NA;NA;1;1;0;"RE"
"1248";0;0;0;0;1;"RE"
"1249";1;1;2;3;0;"RE"
"1250";0;0;0;0;1;"RE"
"1251";NA;0;0;1;1;"RE"
"1252";NA;0;3;3;1;"RE"
"1253";0;2;1;3;1;"RE"
"1254";NA;0;0;0;0;"RE"
"1255";NA;0;0;0;0;"RE"
"1256";0;0;0;0;1;"GY"
"1257";NA;0;0;0;1;"GY"
"1258";0;0;0;0;1;"GY"
"1259";NA;NA;0;0;1;"GY"
"1260";0;0;0;2;1;"GY"
"1261";1;NA;NA;1;1;"GY"
"1262";0;0;0;0;1;"GY"
"1263";NA;NA;0;0;1;"GY"
"1264";NA;NA;1;2;0;"GY"
"1265";0;0;4;0;0;"GY"
"1266";NA;1;4;2;0;"GY"
"1267";0;0;0;0;0;"GY"
"1268";0;2;3;4;0;"GY"
"1269";NA;0;0;0;1;"GY"
"1270";0;0;0;0;1;"GY"
"1271";0;1;0;0;1;"GY"
"1272";NA;NA;0;0;1;"GY"
"1273";0;0;0;0;1;"GY"
"1274";0;1;1;0;1;"GY"
"1275";NA;NA;0;0;1;"GY"
"1276";1;0;0;0;1;"GY"
"1277";0;NA;1;0;1;"GY"
"1278";NA;2;2;3;0;"GY"
"1279";NA;NA;4;7;0;"GY"
"1280";0;0;2;3;1;"GY"
"1281";0;0;0;0;1;"GY"
"1282";0;0;0;2;0;"HA"
"1283";0;2;1;1;0;"HA"
"1284";2;4;1;1;1;"HA"
"1285";NA;NA;1;0;1;"HA"
"1286";1;1;0;1;1;"HA"
"1287";NA;NA;4;3;1;"HA"
"1288";0;0;0;1;0;"RE"
"1289";0;0;3;1;0;"HA"
"1290";1;NA;NA;0;1;"HA"
"1291";NA;0;0;0;0;"HA"
"1292";NA;0;0;0;0;"HA"
"1293";1;1;0;0;1;"HA"
"1294";NA;NA;2;0;1;"HA"
"1295";0;0;0;0;1;"GY"
"1296";0;0;1;0;1;"GY"
"1297";0;0;1;0;1;"GY"
"1298";NA;NA;0;0;1;"GY"
"1299";0;0;0;0;1;"GY"
"1300";1;0;0;0;1;"GY"
"1301";1;0;0;0;1;"GY"
"1302";0;0;1;0;1;"GY"
"1303";0;0;0;0;1;"GY"
"1304";0;0;0;0;1;"GY"
"1305";0;0;0;0;0;"GY"
"1306";0;0;0;0;0;"GY"
"1307";0;1;0;0;0;"GY"
"1308";0;0;1;1;0;"GY"
"1309";NA;0;0;0;0;"GY"
"1310";0;0;0;0;0;"GY"
"1311";0;0;0;0;0;"GY"
"1312";NA;NA;12;0;0;"GY"
"1313";0;1;13;1;0;"GY"
"1314";0;0;4;1;0;"GY"
"1315";0;0;0;0;0;"GY"
"1316";0;0;0;0;0;"GY"
"1317";0;0;0;1;1;"GY"
"1318";3;2;2;2;1;"GY"
"1319";0;0;0;0;1;"GY"
"1320";0;0;0;0;1;"GY"
"1321";0;0;1;0;0;"RE"
"1322";0;1;0;0;1;"RE"
"1323";0;1;1;0;1;"RE"
"1324";0;0;0;0;1;"RE"
"1325";NA;NA;4;2;0;"RE"
"1326";0;NA;NA;1;0;"RE"
"1327";4;NA;NA;1;0;"RE"
"1328";NA;NA;4;1;0;"RE"
"1329";NA;0;0;0;0;"RE"
"1330";NA;NA;16;2;0;"RE"
"1331";NA;NA;3;3;0;"RE"
"1332";0;0;1;0;1;"RE"
"1333";0;0;0;0;1;"RE"
"1334";0;NA;NA;4;1;"RE"
"1335";0;3;2;0;1;"RE"
"1336";NA;NA;0;0;1;"RE"
"1337";NA;NA;0;0;1;"RE"
"1338";0;1;5;5;1;"RE"
"1339";NA;NA;3;1;1;"RE"
"1340";0;0;0;0;1;"RE"
"1341";NA;NA;0;2;1;"RE"
"1342";NA;0;1;0;1;"RE"
"1343";NA;NA;1;1;1;"RE"
"1344";NA;0;1;1;1;"RE"
"1345";1;0;0;0;1;"RE"
"1346";0;0;0;1;0;"RE"
"1347";0;NA;3;6;0;"RE"
"1348";0;4;11;1;0;"RE"
"1349";NA;0;3;0;0;"RE"
"1350";NA;0;2;1;0;"RE"
"1351";NA;1;0;0;1;"RE"
"1352";0;0;1;1;1;"RE"
"1353";NA;NA;0;0;1;"RE"
"1354";NA;4;3;0;0;"RE"
"1355";NA;NA;0;0;0;"RE"
"1356";NA;4;NA;4;0;"RE"
"1357";3;0;0;0;0;"RE"
"1358";0;0;1;1;0;"RE"
"1359";NA;2;2;2;0;"RE"
"1360";0;0;2;3;0;"RE"
"1361";0;0;0;3;1;"GY"
"1362";1;0;0;0;1;"GY"
"1363";0;0;0;0;1;"GY"
"1364";NA;0;1;2;1;"GY"
"1365";NA;NA;6;2;0;"GY"
"1366";NA;NA;1;2;0;"GY"
"1367";NA;NA;2;1;0;"GY"
"1368";0;1;0;0;1;"GY"
"1369";0;1;0;0;1;"GY"
"1370";0;NA;NA;0;1;"GY"
"1371";0;NA;0;0;1;"GY"
"1372";0;0;0;0;1;"GY"
"1373";0;1;0;0;1;"GY"
"1374";0;0;0;0;1;"GY"
"1375";3;2;0;0;1;"GY"
"1376";0;0;0;1;0;"GY"
"1377";4;2;4;1;0;"GY"
"1378";7;3;1;3;0;"GY"
"1379";NA;NA;1;3;0;"GY"
"1380";1;0;0;0;1;"GY"
"1381";1;1;3;1;0;"GY"
"1382";0;0;5;1;0;"GY"
"1383";0;0;0;0;1;"GY"
"1384";NA;0;0;0;0;"HA"
"1385";0;0;0;0;1;"HA"
"1386";0;3;7;5;1;"HA"
"1387";NA;0;0;0;1;"HA"
"1388";NA;NA;3;2;1;"HA"
"1389";0;2;1;1;1;"HA"
"1390";NA;NA;0;0;1;"HA"
"1391";NA;NA;0;0;1;"HA"
"1392";NA;1;0;0;1;"HA"
"1393";NA;NA;0;0;1;"HA"
"1394";NA;0;0;0;1;"HA"
"1395";0;0;0;0;1;"HA"
"1396";0;2;1;0;1;"HA"
"1397";0;0;0;0;1;"HA"
"1398";0;0;0;0;0;"HA"
"1399";0;0;0;0;1;"GY"
"1400";0;0;0;1;1;"GY"
"1401";0;0;0;0;1;"GY"
"1402";0;0;0;0;1;"GY"
"1403";0;1;0;0;1;"GY"
"1404";0;0;2;1;1;"GY"
"1405";0;0;0;1;1;"GY"
"1406";0;NA;NA;0;1;"RE"
"1407";0;0;0;0;1;"GY"
"1408";0;0;0;0;1;"GY"
"1409";0;0;0;0;1;"GY"
"1410";0;0;0;0;1;"GY"
"1411";NA;0;0;0;1;"GY"
"1412";2;1;5;3;1;"GY"
"1413";NA;0;0;0;1;"GY"
"1414";0;0;0;0;1;"GY"
"1415";0;0;0;0;1;"GY"
"1416";0;0;0;2;1;"GY"
"1417";1;4;1;0;1;"GY"
"1418";0;0;0;0;1;"GY"
"1419";0;0;0;0;1;"GY"
"1420";0;1;0;0;1;"GY"
"1421";NA;0;0;0;1;"GY"
"1422";0;1;2;1;1;"GY"
"1423";0;0;0;0;1;"GY"
"1424";0;1;1;0;1;"GY"
"1425";0;1;0;0;1;"GY"
"1426";NA;0;0;0;1;"GY"
"1427";NA;1;0;0;1;"GY"
"1428";0;0;NA;0;1;"GY"
"1429";0;NA;1;1;0;"HA"
"1430";NA;NA;0;0;1;"HA"
"1431";2;NA;2;1;0;"HA"
"1432";NA;NA;0;0;1;"HA"
